opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;
Kawalerka Nowa Inwestycja Bez Pcc Kraków Bie¿anów;: ocieñ;1 pokój;183000;27,00;6 778;https://www.otodom.pl/oferta/kawalerka-nowa-inwestycja-bez-pcc-krakow-biezanow-ID3WXUU.html#85fbb29208;2019-03-07 15:26:02.255068;
Atrakcyjne mieszkanie 3 pokoje, Oœ.Oœwiecenia;: Mistrzejowice;3 pokoje;439000;56,39;7 785;https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-3-pokoje-os-oswiecenia-ID3WXQQ.html#85fbb29208;2019-03-07 15:26:02.255068;
Obozowa, 38m2, 2 Pokoje, Balkon;: Borek Fa³êcki;2 pokoje;299000;38,00;7 868;https://www.otodom.pl/oferta/obozowa-38m2-2-pokoje-balkon-ID3WXEU.html#85fbb29208;2019-03-07 15:26:02.255068;
Mieszkanie w cichej i zielonej okolicy;: £agiewniki-Borek Fa³êcki;2 pokoje;340000;49,00;6 939;https://www.otodom.pl/oferta/mieszkanie-w-cichej-i-zielonej-okolicy-ID3WXCv.html#85fbb29208;2019-03-07 15:26:02.255068;
w s¹siedztwie Rynku G³ównego / 2 miejsca postojowe;: Stare Miasto;4 pokoje;777000;87,20;8 911;https://www.otodom.pl/oferta/w-sasiedztwie-rynku-glownego-2-miejsca-postojowe-ID3WKZS.html#d245b9f81f;2019-03-07 15:26:03.119372;
Apartament u stóp Wawelu;: Stare Miasto;2 pokoje;745000;52,50;14 190;https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#d245b9f81f;2019-03-07 15:26:03.119372;
Bezpoœrednio - 2 pokoje Nowa Huta 37m2;: Nowa Huta;2 pokoje;234000;37,00;6 324;https://www.otodom.pl/oferta/bezposrednio-2-pokoje-nowa-huta-37m2-ID3WYov.html#d245b9f81f;2019-03-07 15:26:03.120374;
Bezpoœrednio - Kawalerka os.Strusia 25m2;: Nowa Huta;1 pokój;228000;25,00;9 120;https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#d245b9f81f;2019-03-07 15:26:03.120374;
Olsza II - kawalerka z miejscem postojowym;: Olsza;1 pokój;203899;22,91;8 900;https://www.otodom.pl/oferta/olsza-ii-kawalerka-z-miejscem-postojowym-ID3WZqU.html#d245b9f81f;2019-03-07 15:26:03.120374;
Mieszkanie w centrum Krakowa 69m2, 3 pokoje;: Grzegórzki;3 pokoje;600000;69,00;8 696;https://www.otodom.pl/oferta/mieszkanie-w-centrum-krakowa-69m2-3-pokoje-ID3WY68.html#d245b9f81f;2019-03-07 15:26:03.120374;
Przytulne mieszkanie bezpoœrednio od w³aœciciela.;: ma³opolskie;2 pokoje;215000;30,00;7 167;https://www.otodom.pl/oferta/przytulne-mieszkanie-bezposrednio-od-wlasciciela-ID3WVDq.html#d245b9f81f;2019-03-07 15:26:03.120374;
3-pokojowe nowoczesne, piêkne! mieszkanie - Kraków;: Wola Duchacka;3 pokoje;430000;50,83;8 460;https://www.otodom.pl/oferta/3-pokojowe-nowoczesne-piekne-mieszkanie-krakow-ID3WXyv.html#d245b9f81f;2019-03-07 15:26:03.120374;
3 pokoje do remontu z ogrzewaniem Mpec;: Pr¹dnik Czerwony;3 pokoje;319000;47,00;6 787;https://www.otodom.pl/oferta/3-pokoje-do-remontu-z-ogrzewaniem-mpec-ID3WXy4.html#d245b9f81f;2019-03-07 15:26:03.120374;
2 pok. mieszkanie 33 mkw, Mistrzejowice;: Mistrzejowice;2 pokoje;234430;33,49;7 000;https://www.otodom.pl/oferta/2-pok-mieszkanie-33-mkw-mistrzejowice-ID3WXlV.html#d245b9f81f;2019-03-07 15:26:03.120374;
Sprzedam mieszkanie 67 m2;: Nowa Huta;3 pokoje;499000;67,00;7 448;https://www.otodom.pl/oferta/sprzedam-mieszkanie-67-m2-ID3WXg0.html#d245b9f81f;2019-03-07 15:26:03.120374;
Mieszkanie, 57 , Kraków;: Ruczaj;3 pokoje;430000;57,00;7 544;https://www.otodom.pl/oferta/mieszkanie-57-m-krakow-ID3WVQo.html#d245b9f81f;2019-03-07 15:26:03.120374;
Mieszkanie, 48 , Kraków;: Bronowice;2 pokoje;399500;48,00;8 323;https://www.otodom.pl/oferta/mieszkanie-48-m-krakow-ID3WVQs.html#d245b9f81f;2019-03-07 15:26:03.121377;
Piêkny 5-pokojowy apartament z du¿ym tarasem!;: Pr¹dnik Bia³y;5 pokoi;1192000;150,00;7 947;https://www.otodom.pl/oferta/piekny-5-pokojowy-apartament-z-duzym-tarasem-ID3WXfy.html#d245b9f81f;2019-03-07 15:26:03.121377;
Dla Inwestora | Kazimierz | ROI 12 % | 135 m2;: Kazimierz;6 pokoi;2161440;135,09;16 000;https://www.otodom.pl/oferta/dla-inwestora-kazimierz-roi-12-135-m2-ID3WXfm.html#d245b9f81f;2019-03-07 15:26:03.121377;
Mieszkanie 3 pok. Prokocim- Bie¿anów;: Bie¿anów-Prokocim;3 pokoje;480000;63,00;7 619;https://www.otodom.pl/oferta/mieszkanie-3-pok-prokocim-biezanow-ID3WXcM.html#d245b9f81f;2019-03-07 15:26:03.121377;
Kawalerka z tarasem, gotowa do odbioru;: Stare Podgórze;1 pokój;310000;30,00;10 333;https://www.otodom.pl/oferta/kawalerka-z-tarasem-gotowa-do-odbioru-ID3WX6k.html#d245b9f81f;2019-03-07 15:26:03.121377;
Jasny i wygodny apartament ul. Góników;: Bie¿anów-Prokocim;2 pokoje;495000;51,00;9 706;https://www.otodom.pl/oferta/jasny-i-wygodny-apartament-ul-gonikow-ID3WX6g.html#d245b9f81f;2019-03-07 15:26:03.121377;
Mieszkanie, 112,20 , Kraków;: Stare Miasto;5 pokoi;2240000;112,20;19 964;https://www.otodom.pl/oferta/mieszkanie-112-20-m-krakow-ID3WX68.html#d245b9f81f;2019-03-07 15:26:03.121377;
2 pokojowe mieszkanie w sercu Krowodrzy!;: Krowodrza;2 pokoje;480000;49,00;9 796;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-w-sercu-krowodrzy-ID3WVNi.html#d245b9f81f;2019-03-07 15:26:03.121377;
