ID;District;Elevation;Slope;Aspect;Aspect_num;ELE;ELE_Geo;Age;Dg;HL;V;SI;geology;geology2;Geo;Geology3;TPI200;TPI500;TPI1000;TPI2000;SP200;SP500;SP1000;SP2000
208;Ujsoˆy;1030;22;NW;296;3;31;84;38,00709187;27,61453697;675,0080548;31,8;Magurska;Magurska;1;Warstwy Magurskie;5,8723;41,076;66,007;54,875;4;6;6;5
209;Wêgierska Górka;860;14;NW;325;2;21;98;45,39411045;35,74934926;503,8385761;37;Magurska;Magurska;1;Piaskowce pasierbieckie;-0,018127;-22,883;-45,485;-29,691;4;2;2;4
210;Wêgierska Górka;1000;6;SE;95;3;30;120;35,90352815;26,63761143;511,6786002;27,3;Slaska;Slaska;0;Istebnianskie dolne;17,133;47,282;79,517;151,99;6;6;6;6
211;Wêgierska Górka;1000;17;SE;141;3;30;117;38,92248707;30,39728554;749,5031699;31,4;Slaska;Slaska;0;Godulskie dolne;11,319;17,143;7,0095;49,307;5;4;4;5
212;Wêgierska Górka;620;19;NE;14;1;10;42;19,02434367;16,54072089;195,7281754;31,8;Slaska;Slaska;0;Godulskie dolne;18,63;-1,8074;-64,559;-122,36;6;4;1;1
213;Ujsoˆy;1090;14;SW;190;3;31;62;30,77567721;25,78822837;764,1685663;34,5;Magurska;Magurska;1;Warstwy Magurskie;-16,755;-28,555;-5,4585;49,258;1;2;4;4
214;Ujsoˆy;885;14;SW;180;2;21;138;52,42092458;41,8930299;519,9122789;40;Magurska;Magurska;1;Warstwy Magurskie;-12,798;-45,667;-82,771;-129,79;1;1;1;1
215;Wisˆa;590;20;SW;210;1;10;90;40,60427819;32,89234623;513,0770568;35;Slaska;Slaska;0;Istebnianskie dolne;-4,2908;-45,152;-88,826;-87,63;4;1;1;1
216;Ujsoˆy;740;15;NW;332;1;11;127;63,64403448;44,82277338;996,6786777;44,1;Magurska;Magurska;1;Warstwy Magurskie;-3,8156;-5,0403;-46,759;-106,99;4;4;2;1
217;Ujsoˆy;870;16;SE;170;2;21;105;43,06700873;38,69345345;932,0479859;40;Magurska;Magurska;1;Warstwy Magurskie;-19,29;-47,072;-15,175;-3,7435;1;1;4;4
218;Ujsoˆy;955;19;NW;356;3;31;127;46,45501734;36,05621806;588,9490291;35,9;Magurska;Magurska;1;Warstwy Magurskie;20,02;64,596;63,467;65,641;6;6;6;5
219;Wêgierska Górka;815;20;SW;188;2;20;117;41,86855281;34,2741797;740,3012245;34,4;Magurska;Magurska;0;Piaskowce pasierbieckie;-16,043;-32,204;8,2286;48,299;1;1;4;5
220;Wêgierska Górka;860;13;NE;60;2;20;127;48,54900731;34,71077363;547,105106;34,3;Slaska;Slaska;0;Godulskie dolne;-10,66;-31,887;-70,76;-85,494;2;1;1;1
221;Wisˆa;895;20;SW;210;2;20;116;53,06661337;35,327991;854,8860349;35,4;Slaska;Slaska;0;Istebnianskie dolne;-15,111;-45,593;-64,372;-54,702;1;1;1;2
222;Ujsoˆy;1100;16;SW;180;3;31;70;33,55305955;26,78650684;581,3536605;33,2;Magurska;Magurska;1;Warstwy Magurskie;-5,8344;-13,276;-20,001;11,705;4;4;4;4
223;Ujsoˆy;1085;12;NE;0;3;31;96;39,14580437;30,76521277;781,0265033;33,6;Magurska;Magurska;1;Warstwy Magurskie;-5,4174;0,072021;61,575;102,27;4;4;5;6
224;Ujsoˆy;1050;14;NW;280;3;31;92;33,8510685;27,78735969;511,2960967;31,6;Magurska;Magurska;1;Warstwy Magurskie;0,4519;-5,3545;-9,1367;72,797;4;4;4;5
225;Wêgierska Górka;600;12,7;NE;75;1;11;57;27,47921942;26,47703738;319,1245994;35,8;Magurska;Magurska;1;warstwy biotytowe;-10,698;-34,353;-71,177;-147,38;2;2;1;1
226;Wêgierska Górka;1115;26;NE;2;3;31;157;48,72849782;31,94973964;649,5728647;30,5;Slaska;Slaska;1;Godulskie gorne;-14,992;-37,135;3,9015;73,946;1;1;4;5
227;Wêgierska Górka;730;18;SE;173;1;10;77;30,52845092;26,46040726;371,3992911;31,1;Slaska;Slaska;0;Godulskie gorne;-7,826;-41,522;-96,793;-88,487;2;1;1;1
228;Jele˜nia;1225;16;NE;14;3;31;112;38,56456216;23,46753445;270,384384;23,5;Magurska;Magurska;1;Warstwy Magurskie;-0,87073;13,387;80,08;139,46;4;4;6;6
229;Wêgierska Górka;820;16;NW;308;2;21;77;27,04762261;25,47827313;223,6870303;30,1;Magurska;Magurska;1;Piaskowce pasierbieckie;10,719;21,959;26,475;51,623;6;5;5;5
230;Wêgierska Górka;850;5;NW;358;2;21;48;19,48413714;19,38681432;229,0821907;34,2;Magurska;Magurska;1;Warstwy podmagurskie;-8,9396;-40,582;-65,651;-111,33;2;1;1;1
231;Wêgierska Górka;1290;20;NW;282;3;31;107;25,08793701;14,69285417;204,720498;16,5;Slaska;Slaska;1;Godulskie gorne;5,4666;42,409;126,49;258,28;4;6;6;6
232;Wêgierska Górka;990;20;SE;156;3;30;120;44,64029783;33,67579954;706,0378931;33,8;Slaska;Slaska;0;Istebnianskie dolne;11,238;12,666;43,017;77,424;6;4;5;6
233;Ujsoˆy;670;11;NW;304;1;11;92;41,05886019;33,27950008;318,9227709;34,7;Magurska;Magurska;1;Warstwy ˆ¥ckie;-5,4044;-33,415;-71,094;-112,29;4;2;1;1
234;Ujsoˆy;980;20;NE;75;3;31;115;53,82745225;36,28320222;633,0603896;35,7;Magurska;Magurska;1;Warstwy Magurskie;-14,678;-21,885;-34,605;-34,099;1;2;2;4
235;Jele˜nia;925;10;NE;45;2;21;63;33,31274667;27,52060317;759,8012392;35,8;Magurska;Magurska;1;Warstwy Magurskie;6,2717;0,33282;-20,927;-63,486;5;4;2;2
236;Ujsoˆy;820;14;SE;178;2;21;76;35,11009894;30,83882355;710,2907755;35,7;Magurska;Magurska;1;Warstwy Magurskie;-2,7462;-30,66;-74,887;-128,93;4;2;1;1
237;Ujsoˆy;920;14;NW;270;2;21;114;37,496176;32,41444197;563,1240664;33,2;Magurska;Magurska;1;Warstwy ˆ¥ckie;9,4033;26,703;49,319;88,031;5;5;5;6
238;Ujsoˆy;955;27;NE;0;3;31;99;42,40037717;34,24629492;666,3847323;36,2;Magurska;Magurska;1;Warstwy Magurskie;-15,166;-20,888;-1,6834;30,501;1;2;4;4
239;Wêgierska Górka;655;22;SE;124;1;11;86;39,04095606;33,1632827;608,8111305;36,1;Slaska;Slaska;1;Godulskie gorne;-12,715;-30,572;-40,637;-73,697;1;2;2;2
240;Ujsoˆy;740;14;NW;325;1;11;97;46,36842316;37,67753955;698,1621424;39,2;Magurska;Podmagurska;1;Warstwy podmagurskie;-0,66339;-4,5315;-23,64;-66,169;4;4;4;2
241;Ujsoˆy;910;26;NE;0;2;21;89;40,94864444;34,80945184;610,4298625;37,6;Magurska;Magurska;1;Warstwy ˆ¥ckie;-3,3952;-25,03;-22,351;-11,275;4;2;4;4
